Date,Weekday,Order ID,Price (TL),Items
2024-12-29 10:58:00,Sunday,dwqb-2452-2wjk,36899.0,"1x Tavuklu Wrap,1x Iced Vanilla Latte"
2024-12-28 11:26:00,Saturday,d09s-2452-q0c8,49199.0,"1x Kekiklim,1x Beş Baharatlı Patates Kızartması (Büyük)"
2024-12-27 10:40:00,Friday,dbex-5wnu,53000.0,1x Meksika Bowl
2024-12-24 16:22:00,Tuesday,f8yu-2452-ficm,30000.0,"1x Flamin' Hot Doritos'lu Mega Çiğ Köfte Dürüm Menü,1x Çiğ Köfte Menü (200 gr.)"
2024-12-22 20:10:00,Sunday,mhcx-2451-q9qh,47100.0,"1x Xtreme Kutu,1x Gravy Sos (Adet)"
2024-12-22 11:13:00,Sunday,ujda-2451-val6,21900.0,1x Karışık Kumpir
2024-12-21 19:31:00,Saturday,bsvm-2451-i1nk,57750.0,1x Çıtır Bihter
2024-12-21 10:35:00,Saturday,dwqb-2451-yl44,34399.0,"1x Tavuklu Wrap,1x Iced Caffè Latte"
2024-12-20 12:47:00,Friday,dbex-ma4j,95400.0,"1x Yeşil Mercimekli Kinoalı Makarna,1x Tatlı Patates Kızartması"
2024-12-19 21:12:00,Thursday,bnnt-2451-dpft,89000.0,"1x Adana Usulü Lahmacun (Orta Boy) (5 Adet),1x Ezme Salata,1x Haydari"
2024-12-18 15:27:00,Wednesday,l874-32ny,28500.0,1x Whopper® Menü
2024-12-16 14:03:00,Monday,awg8-2451-h1xi,34000.0,1x Kekiklim
2024-12-15 17:19:00,Sunday,f8yu-2450-e953,17900.0,"1x Flamin' Hot Doritos'lu Mega Çiğ Köfte Dürüm,1x Komagene Ayran (27 cl.)"
2024-12-14 17:54:00,Saturday,mhcx-2450-0ob5,46700.0,"1x Xtreme Kutu,1x Gravy Sos (Adet)"
2024-12-10 15:34:00,Tuesday,l874-a0wf,24000.0,1x Whopper® Menü
2024-11-25 19:19:00,Monday,unx1-yo77,1.03,"1x Corn Tempura,1x 8A. Kızarmış Çin Mantısı (4 Adet),1x Tatlı Acı Soslu Kore Usulü Tavuk Bun"
2024-11-24 19:05:00,Sunday,bsvm-2447-o6f9,57750.0,1x Çıtır Bihter
2024-11-20 00:28:00,Wednesday,g1km-x3bf,37315.0,"1x Hot Chicken Crispy Burger,1x Özerhisar Ayran (24.5 cl.),1x Sweet Chili Sos"
2024-11-17 22:08:00,Sunday,bsvm-2446-3ah1,96250.0,"1x Karışık Mantı,1x Çıtır Bihter"
2024-11-17 12:29:00,Sunday,dbex-o24l,1.259,"1x Tatlı Patates Kızartması,1x Kabak Spaghetti,1x Tortilla Cipsi"
2024-11-15 17:54:00,Friday,f8yu-2446-gqh8,15099.0,"1x Flamin' Hot Doritos'lu Mega Çiğ Köfte Dürüm,1x Komagene Ayran (27 cl.)"
2024-11-12 22:59:00,Tuesday,bsvm-2446-xl1w,57750.0,1x Çıtır Bihter
2024-11-10 20:13:00,Sunday,awg8-2445-l10u,66299.0,"1x Bi'Köri,1x Chili Lokumu (Hafif Acı)"
2024-10-31 10:17:00,Thursday,dwqb-2444-wf6l,38699.0,"1x Izgara Tavuklu Salata,1x Cool Lime Refresha®"
